condition,axis,num_topics,count,overall_mean,overall_std,overall_variance,between_topic_std,between_topic_variance,mean_within_topic_std,mean_within_topic_variance,pooled_within_topic_std,pooled_within_topic_variance
Neutral,eloquent,5,628,-0.16441981220368745,0.5299022465889236,0.2807963909399884,0.5591637078245151,0.31266405214805965,0.14029306167993028,0.03309385314102388,0.18058349770798654,0.03261039964445038
Neutral,emotional,5,628,-1.0707997664524491,0.3294636543811714,0.10854629955819599,0.26551223036868826,0.07049674447535538,0.16426502423513312,0.05318320389559463,0.22862540179233265,0.05226957434470554
Neutral,empathetic,5,628,-1.5925506464425165,0.3272839106394273,0.10711475816343664,0.19020799663585963,0.03617908198422719,0.19327830850327044,0.07947104714918508,0.27942317402431655,0.07807731018182348
Neutral,enigmatic,5,628,-1.1545984385309704,0.41849065190102813,0.1751344257285475,0.4604980582497836,0.2120584616518211,0.07505879501085308,0.006518776478236119,0.08046920158243355,0.006475292403314326
Neutral,entertaining,5,628,-0.3412966251397019,0.25420139754429505,0.06461835051347274,0.17283969285412196,0.029873559425907217,0.15537936566970453,0.04137362498895079,0.20179699635892337,0.04072202773948333
Neutral,environmental,5,628,1.657083327793012,0.2622588336970773,0.06877969585215124,0.258179820746633,0.06665681984076355,0.11838570657625239,0.015675278846762387,0.12467501483796598,0.015543859324847037
Neutral,epicurean,5,628,-0.24091576883320215,0.6003246492600816,0.36038968450923997,0.6484941252564668,0.42054463049214996,0.1304198081147288,0.026872624535973492,0.16266788585446057,0.026460841088359815
Neutral,esoteric,5,628,-1.1156323807919102,0.8722232160169439,0.7607733385589402,0.9511733109456548,0.9047306674553193,0.15343132835170084,0.04297757620401718,0.205555456448754,0.042253045675855604
Neutral,essentialist,5,628,-0.15424209067918312,0.4422197315226944,0.1955582909480039,0.477744910389385,0.2282401994029615,0.10553064755783008,0.012241170883437184,0.11007478474108201,0.012116458235795541
Neutral,ethereal,5,628,-0.9238531458529697,0.3524032755222538,0.12418806859881354,0.3862973528286206,0.14922564480239978,0.06558306694009414,0.005592590020272133,0.07459294108406671,0.005564106859571047
Neutral,existentialist,5,628,-0.8315364044563026,0.5426481135560492,0.29446697514593895,0.56499592805554,0.31922039871934094,0.1479071121318197,0.03925880994436283,0.1964720433488461,0.038601263817670865
Neutral,experiential,5,628,-0.9056256507422514,0.3544876763186705,0.12566151266181053,0.3292265987014768,0.10839015329254326,0.17831037879967043,0.03908176095789922,0.19647313062228905,0.03860169105652306
Neutral,extroverted,5,628,0.3757540968478106,0.19470281841880688,0.03790918750022688,0.19603873393189253,0.038431185201619346,0.0799027251098865,0.007102958168735379,0.08385525378297858,0.007031703587007742
Neutral,fatalistic,5,628,-0.501698426332823,0.6455227211524178,0.41669958352402214,0.7151107087994413,0.5113833258396393,0.09623112489162913,0.010260272591307762,0.10093792376946557,0.010188464454890443
Neutral,flexible,5,628,2.192454257588478,0.5177289881608607,0.26804330518206865,0.5649751955768582,0.3191969716171091,0.1154396823075137,0.014578164852870442,0.12033203508490178,0.014479798667674034
Neutral,flippant,5,628,-3.319076475064466,0.41047202120587917,0.16848728019283973,0.36701091474512554,0.1346970115420538,0.2098877573952523,0.06119100891124531,0.2456447458999531,0.06034134118825253
Neutral,flirty,5,628,-2.191957846568648,0.3431565167162867,0.11775639496485515,0.3513536238214832,0.12344936897248836,0.1261108037633513,0.01973581110657326,0.13961281200324913,0.019491737275454585
Neutral,forgiving,5,628,0.6976245780279682,0.23365463639702488,0.0545944891098259,0.20265338114277243,0.04106839288859779,0.11692056126526891,0.02194310074058923,0.14693738093240422,0.021590593915274462
Neutral,formal,5,628,2.0086732239337866,0.45620322071766173,0.20812137859316757,0.330168715477149,0.10901138067983057,0.23323013383916885,0.12297775634299515,0.34753114986233696,0.1207779001246381
Neutral,fundamentalist,5,628,-2.5115506861619887,0.5204701954738795,0.27088922437661833,0.5295947059159806,0.2804705525342339,0.2007885255677829,0.046608568798994235,0.2151571873538168,0.04629261527000542
Neutral,futuristic,5,628,-0.11671535403817702,0.5303476940196531,0.2812686765519635,0.584492040068633,0.34163094490359247,0.09132696734794857,0.00945939581099467,0.09677581027974894,0.00936555745530196
