condition,axis,count,mean,std,min,max
anxious,data_driven,5,-2.7263577461242674,0.5333963959806861,-3.5213027000427246,-2.1041173934936523
anxious,decisive,5,-0.9150366663932801,0.21266723470876592,-1.19240140914917,-0.6233314275741577
anxious,deconstructionist,5,0.07396811842918397,0.8529306795319566,-1.0980658531188965,1.1250591278076172
anxious,deontological,5,3.842791509628296,0.2190257860827526,3.544823169708252,4.087116241455078
anxious,detached,5,1.2762974739074706,0.41450045553175235,0.7606261968612671,1.8619983196258545
anxious,deterministic,5,-0.08856402039527893,0.5898815018944618,-1.0354622602462769,0.4074268937110901
anxious,diplomatic,5,2.258013296127319,0.21613470707534613,2.0815515518188477,2.62742280960083
anxious,disorganized,5,-2.114461898803711,0.32702868654989065,-2.5649871826171875,-1.7821018695831299
anxious,dispassionate,5,0.1846781313419342,0.2892959579786745,-0.1975013017654419,0.5567708611488342
anxious,dogmatic,5,-1.2235199451446532,0.19404823182217304,-1.5535507202148438,-1.0606317520141602
anxious,dominant,5,0.5560126721858978,0.3975012268348035,-0.11515370011329651,0.9025092720985413
anxious,dramatic,5,-0.4479330599308014,0.30738520867764624,-0.9672055840492249,-0.14446696639060974
anxious,earnest,5,2.7788562774658203,0.2520409641605287,2.502631664276123,3.058257818222046
anxious,eclectic,5,-0.537713098526001,1.139651810307869,-2.281182289123535,0.5719828009605408
anxious,edgy,5,-3.3286577224731446,0.421746487017085,-3.7444162368774414,-2.7514216899871826
anxious,educational,5,2.8913628101348876,0.23411098805825847,2.59096360206604,3.1852684020996094
anxious,effusive,5,-1.7797116756439209,0.4022294436397985,-2.3581180572509766,-1.2531344890594482
anxious,egalitarian,5,4.7314208984375,0.6653162067193306,4.091329574584961,5.683693885803223
anxious,elitist,5,-5.228376770019532,0.6167891195061704,-5.951767444610596,-4.666412353515625
anxious,eloquent,5,-0.1486125409603119,0.5341105154170315,-1.036948323249817,0.2528073191642761
anxious,emotional,5,-0.5084580421447754,0.3770670271254067,-1.071510672569275,-0.06804773211479187
anxious,empathetic,5,-0.9689282536506653,0.545738354541423,-1.8052177429199219,-0.3909332752227783
anxious,enigmatic,5,-1.071178412437439,0.46274576822147323,-1.7962543964385986,-0.598678708076477
anxious,entertaining,5,0.3042846530675888,0.08622175211038284,0.18568472564220428,0.38791564106941223
anxious,environmental,5,1.705191707611084,0.4373460886763731,1.339824914932251,2.421689033508301
anxious,epicurean,5,-0.3069088339805603,0.7131297631207111,-1.40826416015625,0.5601749420166016
anxious,esoteric,5,-1.3821813344955445,0.8808637022891823,-2.900144338607788,-0.7611390352249146
anxious,essentialist,5,-0.6259563028812408,0.19417030184159,-0.9220865964889526,-0.43508848547935486
anxious,ethereal,5,-0.9292102217674255,0.3399711662993737,-1.431401252746582,-0.5584936141967773
anxious,existentialist,5,-0.5188093304634094,0.7748318699757487,-1.349233627319336,0.4523966610431671
anxious,experiential,5,-0.8016288042068481,0.25187651651074544,-1.1269619464874268,-0.5256655812263489
anxious,extroverted,5,0.4778383791446686,0.22958504420117307,0.1759943664073944,0.6931586265563965
anxious,fatalistic,5,-0.4397221714258194,0.7307612842667971,-1.641514778137207,0.20647075772285461
anxious,flexible,5,2.262172484397888,0.42865437976515525,1.9516563415527344,2.992314338684082
anxious,flippant,5,-3.0431800842285157,0.4736980821067177,-3.8179149627685547,-2.6399359703063965
anxious,flirty,5,-2.109493923187256,0.28548297423810576,-2.5603442192077637,-1.8262076377868652
anxious,forgiving,5,1.1245330452919007,0.38022639902172195,0.6450758576393127,1.602613091468811
anxious,formal,5,1.4338784098625184,0.5745061935221867,0.9329535365104675,2.337963581085205
anxious,fundamentalist,5,-3.0153548240661623,0.5104278895029859,-3.72465181350708,-2.5892889499664307
anxious,futuristic,5,0.01768062710762024,0.5331962873681838,-0.8731852769851685,0.5007761716842651
anxious,goofy,5,-3.4833751201629637,0.3316820939876274,-3.958648443222046,-3.1344714164733887
anxious,grandiose,5,-0.4094522833824158,0.4627237294454886,-1.192903995513916,0.041200190782547
anxious,gregarious,5,-0.45697340071201326,0.37357701856326825,-1.0811784267425537,-0.15130414068698883
anxious,grounded,5,-1.9976815462112427,0.7664940747966107,-2.7178502082824707,-0.8317445516586304
anxious,hedonistic,5,-1.9957225322723389,0.6542814613219611,-3.0008811950683594,-1.4155350923538208
anxious,historical,5,-1.2091741859912872,1.0083273454256299,-2.808426856994629,-0.42611411213874817
anxious,hostile,5,-2.770664691925049,0.33051402680132724,-3.2511146068573,-2.4162158966064453
anxious,humble,5,-0.6271401762962341,0.22660948387733923,-0.9235146045684814,-0.2941712737083435
anxious,iconoclastic,5,-0.8216649323701859,0.672711954161047,-1.74906325340271,0.07671503722667694
anxious,idealistic,5,0.622398579120636,0.2889341005909465,0.3686065673828125,1.0640052556991577
anxious,impatient,5,-2.0363746643066407,0.11536718086092299,-2.137439727783203,-1.8854565620422363
anxious,impulsive,5,-3.256982135772705,0.47167038097458325,-3.8100602626800537,-2.733140468597412
anxious,innovative,5,-0.02783605456352234,0.525765815666001,-0.9336509704589844,0.3318009376525879
