trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
inspirational,theatrical,100,0.454856273829937,1.3093370223844536,13.093370223844534,2.490458942747474e-23,2.630372366497332e-21,True,+,0.7
playful,serious,100,-0.6094110321998596,-1.3034087263351768,-13.034087263351767,3.3148306364928853e-23,3.462156442559236e-21,True,-,0.61
verbose,dramatic,100,0.3739893475174904,1.3023191900056346,13.023191900056345,3.493825085553374e-23,3.609006132329859e-21,True,+,0.52
verbose,meditative,100,0.23128624200820924,1.3018020356794584,13.018020356794583,3.5821521997064263e-23,3.660025073613088e-21,True,+,0.43
data_driven,deontological,100,-0.498822386264801,-1.2999939506216618,-12.999939506216617,3.9089702923604725e-23,3.951002230988004e-21,True,-,0.57
big_picture,entertaining,100,0.30575367629528044,1.2983462359459181,12.983462359459182,4.232822029485921e-23,4.232822029485921e-21,True,+,0.42
spontaneous,serious,100,-0.512455370426178,-1.2980835497904082,-12.980835497904081,4.2868870385425616e-23,4.241761911821061e-21,True,-,0.42
entertaining,sycophantic,100,0.4091062495112419,1.2948683558454994,12.948683558454993,5.0076272112530083e-23,4.903301644351904e-21,True,+,0.43
narrative,dispassionate,100,-0.5056222629547119,-1.2946410599511153,-12.946410599511154,5.062964174655099e-23,4.9063776537894775e-21,True,-,0.54
data_driven,pedantic,100,0.3303972427174449,1.293268287350274,12.932682873502742,5.410479403332053e-23,5.1446613914326606e-21,True,+,0.67
data_driven,altruistic,100,-0.6631065058708191,-1.2932383711932425,-12.932383711932424,5.418313593104611e-23,5.1446613914326606e-21,True,-,0.61
inspirational,romantic,100,0.48875380158424375,1.2898263846681743,12.898263846681743,6.39084652221777e-23,6.007395730884704e-21,True,+,0.66
anxious,subversive,100,0.5983650335669517,1.2883047487302268,12.883047487302267,6.879358756199714e-23,6.402571515671021e-21,True,+,0.5
reactive,condescending,100,0.3941876000165939,1.2879881009357177,12.879881009357177,6.98563912352995e-23,6.4303060023413596e-21,True,+,0.55
entertaining,artistic,100,0.4779342904686928,1.2878104885108663,12.878104885108664,7.045973598310214e-23,6.4303060023413596e-21,True,+,0.5
entertaining,formal,100,-0.5274059736728668,-1.28576498377404,-12.8576498377404,7.77972114430207e-23,7.031671034273025e-21,True,-,0.56
verbose,artistic,100,0.41408812522888183,1.2842148985494715,12.842148985494713,8.386463863688777e-23,7.462893850921865e-21,True,+,0.54
optimistic,gregarious,100,0.33550245858728883,1.2841433159182485,12.841433159182484,8.415603704231039e-23,7.462893850921865e-21,True,+,0.56
spontaneous,solemn,100,-0.5156175136566162,-1.283254568753372,-12.83254568753372,8.785976496425181e-23,7.718521408074458e-21,True,-,0.42
speculative,rebellious,100,0.5047217112779617,1.2822915955534042,12.822915955534041,9.205784124707516e-23,8.012441738171357e-21,True,+,0.6
speculative,introspective,100,0.44708353996276856,1.2820448808275673,12.820448808275673,9.316543380278924e-23,8.034450254552466e-21,True,+,0.5
entertaining,detached,100,-0.4695114037394524,-1.2793160694062127,-12.793160694062127,1.0634598432904268e-22,8.995488010313203e-21,True,-,0.53
empathetic,detached,100,-0.4722495001554489,-1.279220116584386,-12.792201165843862,1.0684208405156691e-22,8.995488010313203e-21,True,-,0.55
entertaining,passionate,100,0.4550355178117752,1.2791549602168504,12.791549602168503,1.0718028267607222e-22,8.995488010313203e-21,True,+,0.51
agreeable,condescending,100,0.34560286402702334,1.2789067404894447,12.789067404894448,1.0847856218470758e-22,9.023880394126118e-21,True,+,0.49
playful,emotional,100,0.48233179450035096,1.277144949630673,12.771449496306731,1.1815864202540964e-22,9.742905570516234e-21,True,+,0.54
optimistic,charismatic,100,0.3273603279516101,1.2764111405047307,12.764111405047307,1.2244216194647832e-22,1.0008315846059968e-20,True,+,0.54
spontaneous,casual,100,0.4423593270778656,1.2753721845698947,12.753721845698946,1.2877499469256151e-22,1.0435215087155848e-20,True,+,0.47
inspirational,bombastic,100,0.5128166608512401,1.2710588463255599,12.710588463255597,1.5878249123284598e-22,1.2756883911014976e-20,True,+,0.58
inspirational,condescending,100,0.4003974908590317,1.2698189902106924,12.698189902106925,1.6864225264698993e-22,1.343421334645513e-20,True,+,0.6
narrative,emotional,100,0.43691698282957075,1.2665986103835771,12.66598610383577,1.9722122524782944e-22,1.5578819473357957e-20,True,+,0.56
formal,eloquent,100,0.3810247569531202,1.2618958719096058,12.618958719096057,2.4792081068807967e-22,1.9420463503899574e-20,True,+,0.46
spontaneous,formal,100,-0.45271263241767884,-1.2594116513270666,-12.594116513270665,2.797926173699591e-22,2.1631319885033548e-20,True,-,0.47
entertaining,rhetorical,100,0.5633423291146755,1.2593417275993868,12.593417275993867,2.8074691765681838e-22,2.1631319885033548e-20,True,+,0.51
data_driven,earnest,100,-0.5781207203865051,-1.2587699073204892,-12.587699073204892,2.8867461288189994e-22,2.2061311878779347e-20,True,-,0.65
inspirational,rebellious,100,0.5153966011852026,1.2585955075651303,12.5859550756513,2.9113692422334807e-22,2.2070057158866707e-20,True,+,0.59
inspirational,quantitative,100,-0.5244956153631211,-1.2556963018623775,-12.556963018623774,3.3530189437873944e-22,2.5214702457281204e-20,True,-,0.53
speculative,playful,100,0.3526958066225052,1.2526874907038617,12.526874907038616,3.88266306850533e-22,2.896589908250008e-20,True,+,0.53
pessimistic,condescending,100,0.4625475713610649,1.2504542442984066,12.504542442984066,4.329413170368479e-22,3.2044475434223384e-20,True,+,0.63
data_driven,sardonic,100,0.6831748771667481,1.2492052145410166,12.492052145410167,4.601418675023429e-22,3.379166839470331e-20,True,+,0.74
spontaneous,impatient,100,0.3515740394592285,1.24703849893106,12.470384989310599,5.114602932381186e-22,3.726919966231252e-20,True,+,0.51
optimistic,animated,100,0.2828030730783939,1.245626506290994,12.45626506290994,5.479576335126506e-22,3.9621551961683966e-20,True,+,0.48
speculative,risk_taking,100,0.44355584278702737,1.244813693884745,12.44813693884745,5.701415133440829e-22,4.0910917751407476e-20,True,+,0.59
spontaneous,condescending,100,0.4043546450138092,1.2433201610244589,12.43320161024459,6.13281469112103e-22,4.3673074315558855e-20,True,+,0.56
entertaining,passive_aggressive,100,0.4448094713687897,1.24255494650459,12.4255494650459,6.366388281897994e-22,4.4986752535004254e-20,True,+,0.6
big_picture,rebellious,100,0.39606985174119475,1.2424056020630072,12.424056020630072,6.413005148606989e-22,4.4986752535004254e-20,True,+,0.42
entertaining,casual,100,0.5175084412097931,1.2406263841391862,12.406263841391862,6.995454339666627e-22,4.8709089476197256e-20,True,+,0.6
verbose,spiritual,100,0.2834872568398714,1.2392211960132955,12.392211960132952,7.492767859655615e-22,5.1788248441737345e-20,True,+,0.44
speculative,subversive,100,0.7711024722456932,1.23883825678447,12.3883825678447,7.634346011423521e-22,5.23816441659716e-20,True,+,0.55
inspirational,reserved,100,-0.33365264534950256,-1.2380154989164307,-12.380154989164307,7.947680808975064e-22,5.4136376524902615e-20,True,-,0.56
empathetic,playful,100,0.3167587983608246,1.2370208076463232,12.370208076463232,8.343782323856091e-22,5.642557830521385e-20,True,+,0.53
intuitive,playful,100,0.3347100445628166,1.2364632318058248,12.364632318058248,8.574423512781223e-22,5.75711293001025e-20,True,+,0.56
narrative,artistic,100,0.4304446579515934,1.2344023688527568,12.344023688527566,9.483849274360659e-22,6.322566182907107e-20,True,+,0.57
playful,empathetic,100,0.43900829017162324,1.2339608865140912,12.339608865140912,9.690927939436099e-22,6.41512131202108e-20,True,+,0.53
inquisitive,entertaining,100,0.2943783423304558,1.2327123438801575,12.327123438801575,1.0301459722148974e-21,6.771588908265759e-20,True,+,0.44
spontaneous,entertaining,100,0.3577487900108099,1.2323406179194234,12.323406179194235,1.049058398030247e-21,6.816229483060907e-20,True,+,0.5
reactive,narrative,100,0.3552143022418022,1.2322700430712274,12.322700430712274,1.0526882292161243e-21,6.816229483060907e-20,True,+,0.44
entertaining,enigmatic,100,0.3585762378573418,1.2320242920801463,12.320242920801464,1.065426441960752e-21,6.816229483060907e-20,True,+,0.53
agreeable,empathetic,100,0.33907862871885297,1.2320144027353688,12.320144027353688,1.0659422702233547e-21,6.816229483060907e-20,True,+,0.41
playful,narrative,100,0.4728505823016167,1.2310870393000155,12.310870393000155,1.1154444025101211e-21,7.084579313239958e-20,True,+,0.59
