trait,axis,n,mean_delta,cohen_d,t_stat,p_raw,p_adjusted,significant,direction,exceedance_rate
entertaining,detached,100,-0.5004048618674278,-1.4823524576072455,-14.823524576072456,7.013199812614248e-27,6.658997801876155e-25,True,-,0.71
playful,confrontational,100,-0.4970727597177029,-1.4809607366794644,-14.809607366794642,7.479506535755442e-27,7.030736143610116e-25,True,-,0.72
entertaining,iconoclastic,100,0.38579550325870515,1.477846861727461,14.778468617274608,8.638949001859718e-27,8.040209962126865e-25,True,+,0.55
spontaneous,entertaining,100,0.4791044682264328,1.4773328757211972,14.773328757211974,8.84701497944082e-27,8.15313145164154e-25,True,+,0.63
playful,passive_aggressive,100,0.4903636610507965,1.4767884258162935,14.767884258162933,9.072912628973716e-27,8.280133855568246e-25,True,+,0.76
speculative,risk_taking,98,0.35379909294448336,1.475012496270041,14.601878738264206,3.15992357087193e-26,2.5606277212238055e-24,True,+,0.35714285714285715
pessimistic,emotional,100,0.47809891536831856,1.4744541466039078,14.744541466039077,1.010907202641114e-26,9.137045870025454e-25,True,+,0.62
playful,zealous,100,0.48725386559963224,1.4724473631996915,14.724473631996915,1.1094546924767508e-26,9.932261056458532e-25,True,+,0.71
pessimistic,forgiving,100,0.3075188595056534,1.472037274548769,14.72037274548769,1.130752608769449e-26,1.0027428794747944e-24,True,+,0.47
anxious,emotional,100,0.45052710369229315,1.4674995043174113,14.674995043174112,1.395738445100686e-26,1.2261627461632195e-24,True,+,0.59
playful,contrarian,100,0.3434571554325521,1.4603629563053895,14.603629563053895,1.944566932752959e-26,1.692493441470168e-24,True,+,0.45
playful,disorganized,100,0.8648867654800415,1.4571734752880248,14.571734752880246,2.255659629689142e-26,1.9281969386225e-24,True,+,0.78
pessimistic,subversive,100,0.5162144279479981,1.4571664186531754,14.571664186531756,2.2564006728561167e-26,1.9281969386225e-24,True,+,0.5
casual,inquisitive,100,0.33173524975776675,1.454429363728109,14.54429363728109,2.5631066655231917e-26,2.1690559295567423e-24,True,+,0.41
concise,impatient,74,0.44341876055743246,1.454279206088024,12.510182759865701,7.792118369777502e-20,1.8220376287539432e-18,True,+,0.6081081081081081
entertaining,stream_of_consciousness,100,0.5497156623005867,1.4541887976426064,14.541887976426066,2.591990535048823e-26,2.1690559295567423e-24,True,+,0.65
casual,earnest,100,-0.3870098340511322,-1.4540608804338957,-14.540608804338957,2.607482128084169e-26,2.1690559295567423e-24,True,-,0.49
inspirational,extroverted,100,0.22092062719166278,1.4529730638267189,14.52973063826719,2.7430434039092506e-26,2.2618077190128908e-24,True,+,0.5
playful,ritualistic,100,-0.7798231837153434,-1.4503480590153668,-14.503480590153668,3.100082688777274e-26,2.5339806325657716e-24,True,-,0.73
pessimistic,empathetic,100,0.5164609536528587,1.4493127228051856,14.493127228051856,3.253436931680834e-26,2.613872406649559e-24,True,+,0.64
anxious,dispassionate,100,-0.37258236289024355,-1.4450983659988212,-14.450983659988212,3.9605410480216056e-26,3.1550072755426348e-24,True,-,0.5
speculative,provocative,98,0.47788031026721,1.4440544616295372,14.295409831093089,1.2959458761732724e-25,9.517102528147469e-24,True,+,0.47959183673469385
entertaining,provocative,100,0.4635591250285506,1.4438686356435884,14.43868635643588,4.194639037111679e-26,3.313412348642839e-24,True,+,0.45
entertaining,empathetic,100,0.5231715232133866,1.442638821904782,14.426388219047821,4.442670673218386e-26,3.480092027354403e-24,True,+,0.64
casual,stream_of_consciousness,100,0.42957223385572435,1.442068357969087,14.42068357969087,4.5626787597348085e-26,3.544560358802248e-24,True,+,0.62
inspirational,charismatic,100,0.3215625223144889,1.4375984233416252,14.375984233416252,5.623165180870703e-26,4.332602680343001e-24,True,+,0.57
speculative,subversive,98,0.4964099334818976,1.4320873494308697,14.176941464476513,2.2429043526766257e-25,1.5389270740992907e-23,True,+,0.46938775510204084
casual,effusive,100,0.36113517493009567,1.430696480806024,14.306964808060242,7.768255536057377e-26,5.936715612921898e-24,True,+,0.45
playful,paranoid,100,0.5595969629287719,1.4300020860329576,14.300020860329576,8.025213772830907e-26,6.083629795533107e-24,True,+,0.65
speculative,entertaining,98,0.390575892158917,1.4267710141180285,14.124312429965714,2.863322572197169e-25,1.8954388858206608e-23,True,+,0.47959183673469385
playful,flippant,100,0.8281168609857559,1.4224949758286303,14.224949758286302,1.141316112739748e-25,8.547927012569869e-24,True,+,0.66
casual,nonchalant,100,0.3791780245304108,1.422268412218249,14.22268412218249,1.1535233077888874e-25,8.547927012569869e-24,True,+,0.47
pessimistic,closure_seeking,100,-0.4572010910511017,-1.4222433904008482,-14.222433904008481,1.1548795006344397e-25,8.547927012569869e-24,True,-,0.38
inspirational,sycophantic,100,0.31729073911905287,1.4191251103649836,14.191251103649835,1.3370758450568087e-25,9.743033289561242e-24,True,+,0.41
narrative,entertaining,100,0.5328973560035228,1.4175246993622332,14.175246993622332,1.4415402616909908e-25,1.042344496915024e-23,True,+,0.55
playful,ascetic,100,-0.31305058129131796,-1.4141823671106766,-14.141823671106767,1.6869358969312148e-25,1.2104730863475893e-23,True,-,0.48
entertaining,contrarian,100,0.3483026671782136,1.4136387344409036,14.136387344409036,1.730646393929497e-25,1.2324300077982782e-23,True,+,0.48
humble,forgiving,100,0.25998960316181186,1.412758353092907,14.127583530929071,1.8038611147366372e-25,1.2749093592875481e-23,True,+,0.41
playful,reverent,100,-0.6959442231059074,-1.4115073676452763,-14.115073676452763,1.913284623998579e-25,1.3421548854915407e-23,True,-,0.64
casual,passionate,100,0.30005324482917783,1.4096409634196254,14.096409634196252,2.0890696168259273e-25,1.4546114369010158e-23,True,+,0.56
formal,eloquent,100,0.40354012586176397,1.4081400916684748,14.081400916684748,2.2421398178866277e-25,1.5389270740992907e-23,True,+,0.47
playful,pacifist,100,0.2456373655796051,1.4077014029820263,14.077014029820264,2.288974502164356e-25,1.5591565449525324e-23,True,+,0.46
spontaneous,emotional,100,0.384749071598053,1.4057589283511869,14.05758928351187,2.508461564914299e-25,1.696369691380893e-23,True,+,0.49
