axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
introverted,23.20577839627347,50,38,0.76,0.6106783788493019,1.7248254692490703,0.43572698971195223,casual,-
quantitative,23.0315163542394,50,40,0.8,0.575787908855985,1.0538502623338701,0.2878039460539461,playful,-
eloquent,22.83030536076213,50,38,0.76,0.6007975094937402,1.4081400916684748,0.39945809457087644,formal,+
ironic,22.73475232672726,50,45,0.9,0.5052167183717169,1.38593977332596,0.36765595803691037,playful,+
accessible,22.559308094773424,50,43,0.86,0.524635071971475,1.3574279563389535,0.4423897889346394,casual,+
nostalgic,22.446466919391103,50,46,0.92,0.48796667216067613,1.0736882356583648,0.34012856810993464,playful,+
data_driven,21.52985845258376,50,39,0.78,0.5520476526303528,1.1001724378864068,0.24049002686365326,playful,-
circumspect,21.23723805824026,50,42,0.84,0.5056485251961966,1.142763226154557,0.35410911839483256,verbose,+
romantic,21.2321340745589,50,42,0.84,0.5055270017752119,1.190901562133357,0.3590889157215688,playful,+
understated,20.743673666340506,50,38,0.76,0.5458861491142238,1.3571858789627849,0.4265922367050187,casual,+
critical,20.005719537209032,50,40,0.8,0.5001429884302258,1.0662554085890061,0.409918204596776,stoic,+
fatalistic,19.975866861045105,50,43,0.86,0.4645550432801187,1.1129626216318143,0.26176043963419376,stoic,+
callous,19.92974769172364,50,39,0.78,0.5110191715826574,1.0145003752388575,0.3020217781756243,anxious,-
deterministic,19.744146879234794,50,43,0.86,0.45916620649383244,0.9468962918748483,0.2349902220334115,verbose,+
experiential,19.45577290805723,50,38,0.76,0.5119940238962429,1.1892281287347664,0.3675415061129347,casual,+
irreverent,19.319330492537638,50,37,0.74,0.5221440673658821,1.3491726460656652,0.4019111570076821,playful,+
earnest,19.08320713075856,50,34,0.68,0.561270797963487,1.4540608804338957,0.3421875269354262,casual,-
epicurean,18.982132430540883,50,33,0.66,0.5752161342588147,1.4878013233205738,0.41364198234328103,formal,+
manic,18.814969491265483,50,39,0.78,0.4824351151606534,1.3368657045460175,0.37354382925811486,playful,+
edgy,18.733695255553908,50,39,0.78,0.48035116039881814,1.2788505465949778,0.386281969139112,playful,+
theoretical,18.22500041209954,50,34,0.68,0.5360294238852806,1.2706290407687257,0.3380449925828076,formal,+
dominant,18.05652653737202,50,37,0.74,0.4880142307397843,0.9965982763626395,0.371304414161557,casual,-
cynical,17.619184509030752,50,38,0.76,0.46366275023765136,1.2216905821835973,0.2761041659913841,playful,+
esoteric,17.20438322047872,50,30,0.6,0.573479440682624,1.2561524553018053,0.4863819509533795,formal,+
bombastic,17.154151162021932,50,33,0.66,0.5198227624855131,1.1742296769604745,0.3661767526702592,formal,+
misanthropic,16.63034746406786,50,37,0.74,0.44946885038021245,1.153454385999039,0.3021483093297766,playful,+
goofy,16.40138481521213,50,34,0.68,0.48239367103565084,1.3112477837941658,0.38626519567696027,playful,+
nonchalant,16.334009474045818,50,33,0.66,0.4949699840619945,1.422268412218249,0.36025857701182373,casual,+
visceral,16.235344323010363,50,36,0.72,0.4509817867502879,1.2335857048824304,0.37889127996270855,casual,+
reactive,15.584332612689698,50,32,0.64,0.48701039414655306,1.2028420394779555,0.34315392096642094,casual,+
nihilistic,15.160432883468768,50,38,0.76,0.3989587600912834,0.7916954638384328,0.2899512225452075,stoic,+
competitive,15.028895124739917,50,31,0.62,0.48480306853999733,1.2606577788301752,0.3436782858441844,stoic,+
collectivistic,14.854292309312708,50,36,0.72,0.4126192308142419,0.7335416645822648,0.14486656593799452,stoic,-
grounded,14.832224752310486,50,30,0.6,0.49440749174368287,1.0897854931562942,0.2767271685843114,verbose,-
