axis,composite_score,n_total_traits,n_significant_traits,pct_significant_traits,mean_abs_cohen_d,max_abs_cohen_d,mean_exceedance_rate,top_trait,top_direction
arrogant,22.397134285465356,51,46,0.9019607843137255,0.48689422359707296,1.0681864141166328,0.3279205094422486,playful,+
mystical,22.176533649296836,51,46,0.9019607843137255,0.48209855759340947,1.0108532099651164,0.2054874835309618,inspirational,+
charismatic,21.888431264782174,51,44,0.8627450980392157,0.4974643469268676,1.0988190064668715,0.3606749311294766,inspirational,+
poetic,21.885735493032733,51,48,0.9411764705882353,0.4559528227715153,1.0538159683169441,0.2909743265993266,inspirational,+
chaotic,21.75078770869022,51,43,0.8431372549019608,0.5058322722951214,1.0217778393910224,0.42894056847545214,entertaining,+
innovative,21.747148354209312,51,44,0.8627450980392157,0.4942533716865753,1.0741381666363656,0.29813131313131314,inspirational,+
closure_seeking,21.641585121445956,51,37,0.7254901960784313,0.5849077059850258,0.9655318739025064,0.356033306033306,entertaining,-
contrarian,21.40409896640868,51,44,0.8627450980392157,0.4864567946911063,1.0477086927595936,0.3804063360881543,skeptical,+
reserved,21.14667657891861,51,42,0.8235294117647058,0.5034922994980621,1.0121593636767117,0.39925925925925926,inspirational,-
relativist,21.01722265728054,51,43,0.8431372549019608,0.4887726199367568,0.9234895471675593,0.26656330749354,speculative,+
pedantic,20.869754784162133,51,37,0.7254901960784313,0.5640474265989766,1.0860256061978215,0.3836008736008736,formal,+
reverent,20.82357465955308,51,40,0.7843137254901961,0.520589366488827,1.2263621975734516,0.388,skeptical,-
enigmatic,20.815673837282272,51,47,0.9215686274509803,0.4428866773889845,0.9291538964699011,0.30695680206318504,inspirational,+
conscientious,20.081524506521024,51,39,0.7647058823529411,0.5149108847825904,1.0986891050140473,0.37333333333333335,skeptical,-
iconoclastic,20.05446854715837,51,41,0.803921568627451,0.4891333791989846,1.0631958455229167,0.39750184774575015,playful,+
challenging,20.01511214776599,51,44,0.8627450980392157,0.454888912449227,0.9642427883773452,0.3906267217630854,skeptical,+
flippant,19.889152958331795,51,39,0.7647058823529411,0.5099782809828666,1.0314233518589184,0.36777518777518775,skeptical,+
existentialist,19.833656942866924,51,39,0.7647058823529411,0.508555306227357,0.9206553972815062,0.31683760683760687,empathetic,+
adventurous,19.466349448868872,51,42,0.8235294117647058,0.4634845106873541,1.0658308587408272,0.3163900913900914,entertaining,+
passive_aggressive,19.38558326591985,51,38,0.7450980392156863,0.5101469280505223,1.137314629184327,0.3029691653375864,playful,+
flirty,19.242156040883916,51,40,0.7843137254901961,0.4810539010220979,1.0581099774865075,0.3578459595959596,playful,+
introspective,19.0761558263208,51,44,0.8627450980392157,0.43354899605274544,0.915289952041473,0.40453627180899904,inspirational,+
zealous,18.982802467685204,51,39,0.7647058823529411,0.4867385248124411,0.8964213967990476,0.4147500647500647,entertaining,+
libertarian,18.888928690365347,51,41,0.803921568627451,0.46070557781378896,0.8175997377422357,0.27956393200295643,playful,+
paranoid,18.522385536521572,51,37,0.7254901960784313,0.500605014500583,0.9722508430248737,0.31142506142506143,playful,+
chill,18.43902973677556,51,36,0.7058823529411765,0.5121952704659878,1.0437203597283722,0.4190095398428732,humble,+
effusive,18.40160844678214,51,38,0.7450980392156863,0.48425285386268796,0.9129238796254605,0.38404306220095696,anxious,+
accessible,17.91689390713957,51,35,0.6862745098039216,0.511911254489702,0.9370457624494049,0.4283953823953824,humble,+
futuristic,17.916287412365072,51,40,0.7843137254901961,0.4479071853091268,0.9971283101239437,0.26542424242424245,inspirational,+
introverted,17.873570462601656,51,38,0.7450980392156863,0.4703571174368857,0.8882236601773552,0.41667995746943115,empathetic,-
data_driven,17.848727089516167,51,37,0.7254901960784313,0.4823980294463829,0.8601840150354485,0.27846027846027843,pessimistic,-
absolutist,17.819017418883043,51,41,0.803921568627451,0.4346101809483669,0.8309154759031051,0.3406627248090663,pessimistic,-
quantitative,17.42795355311382,51,37,0.7254901960784313,0.4710257717057789,0.8898550171096506,0.2836063336063336,pessimistic,-
confident,17.030803085115508,51,34,0.6666666666666666,0.5009059730916325,1.0052032026082558,0.4392513368983957,anxious,-
ascetic,16.966845747490904,51,35,0.6862745098039216,0.484767021356883,0.8083988425806408,0.21606349206349207,entertaining,-
mischievous,16.927272149356323,51,37,0.7254901960784313,0.4574938418744952,1.1276306478756195,0.3154954954954955,playful,+
hedonistic,16.381892410213016,51,35,0.6862745098039216,0.46805406886322903,0.8857289418265551,0.3572582972582973,playful,+
qualitative,16.186077380675,51,37,0.7254901960784313,0.437461550829054,0.8397407179441523,0.2695495495495495,inspirational,+
historical,15.742341697233003,51,41,0.803921568627451,0.3839595535910489,0.8231079033733261,0.2868982508006898,playful,+
understated,15.524654406596186,51,35,0.6862745098039216,0.4435615544741767,1.0884226584448933,0.419988455988456,skeptical,+
esoteric,15.147684014572244,51,34,0.6666666666666666,0.4455201180756542,0.9980050311960169,0.42789661319073086,formal,+
earnest,14.993632668000128,51,34,0.6666666666666666,0.4409891961176508,1.003396535232089,0.3341176470588235,skeptical,-
dominant,14.882362401508713,51,32,0.6274509803921569,0.4650738250471473,0.779663928374589,0.3467203282828283,humble,-
spiritual,14.830339371281667,51,37,0.7254901960784313,0.4008199830076126,0.9429232782418054,0.2152033852033852,inspirational,+
convergent,14.421360805114153,51,37,0.7254901960784313,0.38976650824632847,0.6836043185273352,0.30803166803166804,strategic,+
fatalistic,14.349107938013468,51,36,0.7058823529411765,0.3985863316114852,0.8328335726634483,0.22005892255892257,speculative,+
theoretical,13.958423919273205,51,32,0.6274509803921569,0.43620074747728765,0.7721666296673462,0.320625,humble,-
ironic,13.564580579902996,51,32,0.6274509803921569,0.42389314312196863,0.9132409192870289,0.3232323232323232,playful,+
grandiose,13.456897721687016,51,27,0.5294117647058824,0.4984036193217413,1.1142445943714725,0.31289562289562295,inspirational,+
irreverent,13.346838393236345,51,31,0.6078431372549019,0.43054317397536596,0.8745373719810347,0.3832258064516129,playful,+
visceral,13.21839772916379,51,34,0.6666666666666666,0.388776403798935,0.771361651658485,0.37373737373737376,entertaining,+
nonchalant,12.7286193276026,51,31,0.6078431372549019,0.4106006234710516,0.8170987744514948,0.34516129032258064,playful,+
deontological,12.722173399439825,51,34,0.6666666666666666,0.37418157057175955,0.550222627102433,0.22478015448603683,empathetic,-
eclectic,12.637240005427252,51,29,0.5686274509803921,0.43576689673887076,0.8708048691963118,0.3675235109717868,verbose,+
deterministic,12.498954784412188,51,32,0.6274509803921569,0.3905923370128809,0.7369782415513789,0.24446969696969698,speculative,+
submissive,12.478013494372327,51,31,0.6078431372549019,0.4025165643345912,0.7254200974833281,0.25806451612903225,humble,+
ethereal,12.40222828805571,51,31,0.6078431372549019,0.4000718802598616,0.8704926896512696,0.33410557184750733,inspirational,+
eloquent,12.296131008828192,51,26,0.5098039215686274,0.47292811572416127,1.0788569634284935,0.3880652680652681,inspirational,+
naive,11.805617148799474,51,30,0.5882352941176471,0.3935205716266491,0.6675102171216609,0.3887979797979798,humble,+
goofy,11.70672225642856,51,30,0.5882352941176471,0.3902240752142853,0.7862878035233445,0.3426666666666666,playful,+
bombastic,11.53148489888376,51,25,0.49019607843137253,0.46125939595535037,0.9170568743933528,0.35991919191919197,verbose,+
manic,11.364977714543617,51,29,0.5686274509803921,0.3918957832601247,0.7965835933605009,0.34942528735632183,playful,+
edgy,11.22730444131632,51,29,0.5686274509803921,0.3871484290109076,0.8237144517885203,0.34758620689655173,playful,+
reactive,11.225470625196696,51,28,0.5490196078431373,0.4009096651855963,0.7288315590695199,0.32071428571428573,playful,+
competitive,11.213365426689668,51,26,0.5098039215686274,0.4312832856419103,0.7823336922597762,0.36996503496503497,playful,+
meditative,11.03870433079662,51,27,0.5294117647058824,0.40884090114061555,0.6840280770631485,0.2530714552936775,skeptical,-
experiential,11.004565513601358,51,28,0.5490196078431373,0.3930201969143342,0.6461353117080368,0.3682142857142857,anxious,+
impulsive,10.87906874409236,51,29,0.5686274509803921,0.3751403015204262,0.7276171451645947,0.3472413793103448,playful,+
romantic,10.857559664202716,51,29,0.5686274509803921,0.3743986091104385,0.7708952370649002,0.37739115290839426,inspirational,+
diplomatic,10.807123441763801,51,29,0.5686274509803921,0.372659429026338,0.8229402291872048,0.3560048763497039,playful,-
contemporary,10.773631771379248,51,33,0.6470588235294118,0.3264736900417954,0.6074563184586202,0.32242424242424245,anxious,+
calm,10.665349009147153,51,28,0.5490196078431373,0.3809053217552555,0.7891949151004015,0.37035714285714283,playful,-
fundamentalist,10.512431824943064,51,32,0.6274509803921569,0.32851349452947076,0.6944085628790851,0.3483901515151515,pessimistic,-
idealistic,10.471201874665244,51,26,0.5098039215686274,0.4027385336409709,0.8300439179355994,0.34514374514374513,skeptical,-
epicurean,9.925890558976977,51,23,0.45098039215686275,0.43156045908595553,1.0197567310320406,0.3751866490996926,verbose,+
grounded,9.825195892224487,51,25,0.49019607843137253,0.39300783568897946,0.7521210618434914,0.29666262626262624,formal,-
temperamental,9.695187447987811,51,27,0.5294117647058824,0.35908101659214114,0.723388301250252,0.37777777777777777,playful,+
misanthropic,9.236351412272121,51,24,0.47058823529411764,0.38484797551133837,0.821021270310978,0.2970833333333333,playful,+
nostalgic,9.193088991134674,51,24,0.47058823529411764,0.38304537463061145,0.6632353971728483,0.3476599326599326,entertaining,+
critical,9.140912394462035,51,23,0.45098039215686275,0.3974309736722624,0.6687738090043858,0.40337725076855513,speculative,+
problem_solving,9.121133529106885,51,27,0.5294117647058824,0.33781976033729205,0.6183986691522102,0.3309801720912832,pessimistic,-
callous,9.048541518812133,51,22,0.43137254901960786,0.41129734176418786,0.8248631494947354,0.35835169880624423,anxious,-
radical,8.941182746598908,51,22,0.43137254901960786,0.40641739757267764,0.7302254915592507,0.2902892561983471,playful,+
petty,8.670592387602007,51,23,0.45098039215686275,0.37698227772182635,0.663038061968696,0.31565217391304345,skeptical,-
neurotic,8.526563081658978,51,25,0.49019607843137253,0.3410625232663591,0.5815950704601035,0.3172,playful,+
anxious,8.464606781515565,51,24,0.47058823529411764,0.3526919492298152,0.6200933770760189,0.29375,playful,+
educational,8.407029722369915,51,24,0.47058823529411764,0.35029290509874644,0.6324464880791513,0.25,playful,-
sassy,8.304122669328478,51,22,0.43137254901960786,0.37746012133311263,0.7701711255138072,0.4068181818181818,playful,+
cynical,8.194794165848972,51,20,0.39215686274509803,0.4097397082924486,0.8919973682327802,0.34950000000000003,playful,+
literal,8.146617855357103,51,24,0.47058823529411764,0.3394424106398793,0.7344690565353102,0.36368686868686867,inspirational,-
collectivistic,8.139802013057336,51,22,0.43137254901960786,0.36999100059351525,0.6426313861441809,0.14323691460055096,risk_taking,-
philosophical,8.075994626651202,51,19,0.37254901960784315,0.42505234877111586,1.0005915165845518,0.27962785752259434,verbose,+
patient,8.027675613681662,51,22,0.43137254901960786,0.36489434607643917,0.6940098440044834,0.4410835629017447,humble,+
abstract,7.485147905165824,51,23,0.45098039215686275,0.3254412132680793,0.5425963012330545,0.2765217391304348,verbose,+
theatrical,7.402448355469406,51,19,0.37254901960784315,0.38960254502470554,0.8721730423092464,0.27400850611376926,inspirational,+
cryptic,7.264450844547529,51,18,0.35294117647058826,0.4035806024748627,0.6690126925942204,0.32760942760942763,inspirational,+
collaborative,6.612435459464642,51,20,0.39215686274509803,0.3306217729732321,0.52705059446571,0.3636868686868687,anxious,-
moderate,6.557834009974138,51,19,0.37254901960784315,0.34514915841969146,0.6550011942765961,0.3242105263157895,playful,-
pluralist,6.481340506949597,51,17,0.3333333333333333,0.3812553239382116,0.5979468879027927,0.3160665478312537,playful,-
nihilistic,6.430827477106006,51,17,0.3333333333333333,0.3782839692415298,0.6487695905513319,0.23823529411764705,risk_taking,+
agreeable,6.145827581003163,51,22,0.43137254901960786,0.2793557991365074,0.36916362956300763,0.2748255280073462,big_picture,+
egalitarian,5.966599259548276,51,18,0.35294117647058826,0.3314777366415709,0.46782872844590245,0.29055555555555557,playful,-
conceptual,5.800395079443751,51,17,0.3333333333333333,0.3411997105555148,0.4818143013476392,0.2505882352941176,verbose,+
dogmatic,5.6649831542893585,51,18,0.35294117647058826,0.3147212863494088,0.5647705201068437,0.34487654320987654,playful,+
resilient,5.36420753252694,51,16,0.3137254901960784,0.33526297078293377,0.5169900731673247,0.26642676767676765,formal,+
curious,5.275438250267743,51,14,0.27450980392156865,0.37681701787626737,0.6780851435245363,0.3913636363636364,inspirational,+
verbose,5.085136132021644,51,15,0.29411764705882354,0.3390090754681096,0.7077351001546031,0.33352861952861956,verbose,+
circumspect,5.068954580697232,51,15,0.29411764705882354,0.3379303053798155,0.6901463640983547,0.37556902356902355,verbose,+
sarcastic,5.035713310311001,51,14,0.27450980392156865,0.35969380787935723,0.7434805922557651,0.29071428571428576,playful,+
militant,4.947256505402194,51,14,0.27450980392156865,0.3533754646715853,0.7134691578660892,0.30953102453102455,playful,+
pessimistic,4.89428643643135,51,15,0.29411764705882354,0.3262857624287567,0.47773768062279437,0.34933333333333333,entertaining,+
utilitarian,4.7924711160523366,51,16,0.3137254901960784,0.29952944475327103,0.5016276568412043,0.21145833333333333,cautious,-
cruel,4.612418469004517,51,15,0.29411764705882354,0.3074945646003011,0.45300838293715145,0.2962087542087542,anxious,-
sardonic,4.567672227259517,51,14,0.27450980392156865,0.32626230194710837,0.6456811502222973,0.3485714285714286,playful,+
concise,4.516130510047348,51,13,0.2549019607843137,0.34739465461902674,0.6210313398628559,0.35307692307692307,verbose,-
